restaurant_id,name,city,area,cuisine,features,approx_capacity,table_counts,price_level,rating,hours,min_lead_time_mins,cancellation_policy,contact_phone,contact_email
R001,GoodFoods Express - Connaught Place,Delhi,Connaught Place,"Chinese, Fusion","Live Music, Vegan Options, Wheelchair Friendly",98,"{""2"": 18, ""4"": 6, ""6"": 2, ""8"": 2, ""10"": 1}",$$$,4.3,12:00-23:00,120,Free until 24 hours before,+91-9582334538,reservations.1@goodfoods.example.com
R002,GoodFoods Signature - T. Nagar,Chennai,T. Nagar,"Continental, Mexican","Outdoor Seating, Pet Friendly, Kids Zone",128,"{""2"": 8, ""4"": 7, ""6"": 8, ""8"": 2, ""10"": 2}",$$$,3.9,10:00-01:00+1,0,Credit card hold required,+91-9184611066,reservations.2@goodfoods.example.com
R003,GoodFoods Signature - Nungambakkam,Chennai,Nungambakkam,"Rajasthani, Chinese","Rooftop, Kids Zone",198,"{""2"": 7, ""4"": 12, ""6"": 15, ""8"": 2, ""10"": 3}",$$,4.4,11:00-23:00,60,₹500 no-show fee,+91-9324956459,reservations.3@goodfoods.example.com
R004,GoodFoods Express - T. Nagar,Chennai,T. Nagar,"Gujarati, Continental","Pet Friendly, Bar, Private Dining",216,"{""2"": 25, ""4"": 22, ""6"": 5, ""8"": 6, ""10"": 0}",$,4.6,11:00-00:00+1,0,Free until 24 hours before,+91-9709004943,reservations.4@goodfoods.example.com
R005,GoodFoods Bistro - Viman Nagar,Pune,Viman Nagar,"Mexican, Bengali, Mediterranean","Outdoor Seating, Pet Friendly, Kids Zone",270,"{""2"": 22, ""4"": 13, ""6"": 13, ""8"": 7, ""10"": 4}",$$,3.8,10:00-01:00+1,0,Free until 2 hours before,+91-9217734861,reservations.5@goodfoods.example.com
R006,GoodFoods Signature - Koramangala,Bengaluru,Koramangala,"Rajasthani, South Indian, Mexican","Gluten Free, Bar, Vegan Options, Outdoor Seating",204,"{""2"": 5, ""4"": 8, ""6"": 12, ""8"": 5, ""10"": 5}",$,3.9,10:00-01:00+1,0,₹500 no-show fee,+91-9637500247,reservations.6@goodfoods.example.com
R007,GoodFoods Signature - MG Road,Bengaluru,MG Road,Vegan,"Wheelchair Friendly, Vegan Options, Kids Zone",180,"{""2"": 16, ""4"": 10, ""6"": 10, ""8"": 1, ""10"": 4}",$$,3.5,11:00-00:00+1,30,Free until 2 hours before,+91-9358633898,reservations.7@goodfoods.example.com
R008,GoodFoods Express - Connaught Place,Delhi,Connaught Place,"Vegan, South Indian, BBQ","Pet Friendly, Bar, Vegan Options",266,"{""2"": 13, ""4"": 21, ""6"": 15, ""8"": 7, ""10"": 1}",$$$,3.9,12:00-00:00+1,120,Credit card hold required,+91-9229927269,reservations.8@goodfoods.example.com
R009,GoodFoods Urban - Hitech City,Hyderabad,Hitech City,Thai,"Gluten Free, Vegan Options",172,"{""2"": 23, ""4"": 12, ""6"": 2, ""8"": 2, ""10"": 5}",$,3.6,10:00-00:00+1,0,Free until 24 hours before,+91-9399012686,reservations.9@goodfoods.example.com
R010,GoodFoods Bistro - Salt Lake,Kolkata,Salt Lake,"Continental, Rajasthani","Kids Zone, Bar, Private Dining, Wheelchair Friendly",216,"{""2"": 8, ""4"": 18, ""6"": 7, ""8"": 7, ""10"": 3}",$$$,3.6,12:00-22:00,0,Credit card hold required,+91-9881913386,reservations.10@goodfoods.example.com
R011,GoodFoods Urban - Koregaon Park,Pune,Koregaon Park,"Chinese, Fusion","Pet Friendly, Private Dining, Wheelchair Friendly, Outdoor Seating",122,"{""2"": 12, ""4"": 7, ""6"": 9, ""8"": 2, ""10"": 0}",$,4.8,10:00-23:00,120,Credit card hold required,+91-9616854671,reservations.11@goodfoods.example.com
R012,GoodFoods Express - Jubilee Hills,Hyderabad,Jubilee Hills,Italian,"Rooftop, Private Dining, Outdoor Seating, Bar",270,"{""2"": 18, ""4"": 22, ""6"": 12, ""8"": 8, ""10"": 1}",$$,3.8,10:00-22:00,60,Free until 2 hours before,+91-9153839920,reservations.12@goodfoods.example.com
R013,GoodFoods Express - Salt Lake,Kolkata,Salt Lake,Gujarati,"Pet Friendly, Live Music",166,"{""2"": 7, ""4"": 12, ""6"": 8, ""8"": 2, ""10"": 4}",$$$,4.3,12:00-22:00,120,₹500 no-show fee,+91-9379995032,reservations.13@goodfoods.example.com
R014,GoodFoods Express - Gachibowli,Hyderabad,Gachibowli,"Japanese, Mexican","Wheelchair Friendly, Outdoor Seating, Bar",104,"{""2"": 7, ""4"": 5, ""6"": 9, ""8"": 2, ""10"": 0}",$$$,3.9,11:00-22:00,30,₹500 no-show fee,+91-9406002884,reservations.14@goodfoods.example.com
R015,GoodFoods Express - HSR Layout,Bengaluru,HSR Layout,"Rajasthani, BBQ","Wheelchair Friendly, Vegan Options",104,"{""2"": 8, ""4"": 9, ""6"": 6, ""8"": 2, ""10"": 0}",$$,3.9,10:00-00:00+1,30,₹500 no-show fee,+91-9642678844,reservations.15@goodfoods.example.com
R016,GoodFoods Bistro - New Town,Kolkata,New Town,South Indian,"Outdoor Seating, Rooftop, Gluten Free, Valet Parking",230,"{""2"": 25, ""4"": 13, ""6"": 4, ""8"": 8, ""10"": 4}",$$$,3.5,10:00-23:00,0,₹500 no-show fee,+91-9725464884,reservations.16@goodfoods.example.com
R017,GoodFoods Express - HSR Layout,Bengaluru,HSR Layout,"North Indian, Japanese","Rooftop, Valet Parking, Kids Zone",260,"{""2"": 8, ""4"": 16, ""6"": 14, ""8"": 7, ""10"": 4}",$,4.7,10:00-01:00+1,0,Free until 24 hours before,+91-9890880074,reservations.17@goodfoods.example.com
R018,GoodFoods Signature - Baner,Pune,Baner,"Japanese, Italian","Private Dining, Rooftop",242,"{""2"": 12, ""4"": 11, ""6"": 15, ""8"": 8, ""10"": 2}",$,3.8,12:00-23:00,120,₹500 no-show fee,+91-9399147754,reservations.18@goodfoods.example.com
R019,GoodFoods Urban - Saket,Delhi,Saket,"Bengali, Gujarati","Wheelchair Friendly, Vegan Options, Valet Parking, Rooftop",172,"{""2"": 13, ""4"": 10, ""6"": 11, ""8"": 5, ""10"": 0}",$$$,4.1,12:00-00:00+1,120,Free until 2 hours before,+91-9513600440,reservations.19@goodfoods.example.com
R020,GoodFoods Signature - Gachibowli,Hyderabad,Gachibowli,Continental,"Rooftop, Vegan Options, Gluten Free, Kids Zone",224,"{""2"": 18, ""4"": 7, ""6"": 12, ""8"": 6, ""10"": 4}",$$$,4.7,12:00-00:00+1,60,Credit card hold required,+91-9450236225,reservations.20@goodfoods.example.com
R021,GoodFoods Signature - CG Road,Ahmedabad,CG Road,"Chinese, Mexican","Wheelchair Friendly, Pet Friendly, Outdoor Seating, Private Dining",164,"{""2"": 5, ""4"": 14, ""6"": 6, ""8"": 4, ""10"": 3}",$$,4.1,12:00-23:00,120,Free until 24 hours before,+91-9807435606,reservations.21@goodfoods.example.com
R022,GoodFoods Urban - Saket,Delhi,Saket,"South Indian, Vegan","Wheelchair Friendly, Outdoor Seating, Kids Zone",112,"{""2"": 9, ""4"": 5, ""6"": 2, ""8"": 4, ""10"": 3}",$$,4.1,12:00-23:00,120,Credit card hold required,+91-9529123992,reservations.22@goodfoods.example.com
R023,GoodFoods Bistro - Hitech City,Hyderabad,Hitech City,Fusion,"Private Dining, Kids Zone",162,"{""2"": 21, ""4"": 19, ""6"": 2, ""8"": 4, ""10"": 0}",$,4.6,12:00-00:00+1,120,Credit card hold required,+91-9991816852,reservations.23@goodfoods.example.com
R024,GoodFoods Signature - Salt Lake,Kolkata,Salt Lake,"Mediterranean, Japanese, BBQ","Wheelchair Friendly, Outdoor Seating, Vegan Options",198,"{""2"": 25, ""4"": 12, ""6"": 6, ""8"": 8, ""10"": 0}",$,3.9,11:00-22:00,30,Free until 24 hours before,+91-9348315126,reservations.24@goodfoods.example.com
R025,GoodFoods Bistro - Navrangpura,Ahmedabad,Navrangpura,"South Indian, Mexican","Valet Parking, Vegan Options, Bar, Private Dining",190,"{""2"": 11, ""4"": 18, ""6"": 8, ""8"": 1, ""10"": 4}",$$,3.5,11:00-00:00+1,120,Credit card hold required,+91-9677909930,reservations.25@goodfoods.example.com
R026,GoodFoods Urban - Jubilee Hills,Hyderabad,Jubilee Hills,"Japanese, Mexican","Rooftop, Private Dining, Valet Parking, Gluten Free",178,"{""2"": 19, ""4"": 9, ""6"": 11, ""8"": 1, ""10"": 3}",$,4.4,10:00-01:00+1,30,Free until 2 hours before,+91-9379340713,reservations.26@goodfoods.example.com
R027,GoodFoods Express - CG Road,Ahmedabad,CG Road,"Mediterranean, Thai","Private Dining, Outdoor Seating, Wheelchair Friendly",134,"{""2"": 7, ""4"": 20, ""6"": 2, ""8"": 1, ""10"": 2}",$$$,3.6,12:00-22:00,0,Free until 24 hours before,+91-9314061901,reservations.27@goodfoods.example.com
R028,GoodFoods Signature - Lower Parel,Mumbai,Lower Parel,"Chinese, Italian","Wheelchair Friendly, Live Music, Kids Zone, Bar",164,"{""2"": 16, ""4"": 10, ""6"": 11, ""8"": 2, ""10"": 1}",$,4.3,11:00-01:00+1,120,Free until 24 hours before,+91-9181600593,reservations.28@goodfoods.example.com
R029,GoodFoods Signature - Banjara Hills,Hyderabad,Banjara Hills,"Vegan, Bengali","Gluten Free, Rooftop",236,"{""2"": 22, ""4"": 18, ""6"": 12, ""8"": 6, ""10"": 0}",$,4.7,11:00-22:00,120,₹500 no-show fee,+91-9782454310,reservations.29@goodfoods.example.com
